49.092217;9.292143;0
49.249583;9.350565;0
49.445897;11.067153;31
49.651788;10.077850;7
49.652758;10.078380;3
49.655527;9.942965;18
49.660907;10.088545;8
49.666228;9.765925;0
49.668502;10.128237;0
49.697507;10.027993;3
49.700362;10.024942;5
49.701402;10.025143;8
49.701430;10.025202;7
49.701443;10.025163;3
49.701468;10.025102;3
49.701490;10.025070;6
49.701508;10.025393;9
49.701553;10.025338;6
49.701557;10.025275;10
49.701560;10.025438;6
49.701572;10.025002;6
49.701578;10.024987;6
49.701578;10.024987;6
49.701580;10.025255;13
49.701582;10.025232;8
49.701583;10.024998;6
49.701583;10.025367;9
49.701588;10.025357;9
49.701598;10.025457;6
49.701602;10.024970;6
49.701603;10.025320;6
49.701607;10.025312;9
49.701608;10.025398;7
49.701610;10.025362;9
49.701625;10.025278;4
49.701650;10.025447;4
49.702147;10.026352;3
49.703215;10.009522;4
49.706448;10.026067;11
49.706467;10.026827;11
49.707288;10.022680;9
49.708322;10.023597;14
49.708322;10.023597;13
49.708362;10.023580;15
49.708490;10.023625;6
49.708490;10.023625;9
49.708490;10.023625;9
49.708490;10.023625;8
49.709672;9.807043;0
49.717145;9.819553;0
49.719795;10.002968;12
49.721787;10.006037;7
49.721915;10.005113;6
49.721948;10.001890;7
49.721948;10.003147;3
49.721967;10.003207;4
49.722523;10.003393;7
49.722652;10.003062;0
49.722740;10.008023;13
49.722875;10.002552;0
49.722920;10.010685;7
49.723085;10.007940;7
49.723592;10.010170;17
49.723637;10.010127;20
49.723888;10.001077;9
49.723997;10.000110;4
49.724003;10.002215;3
49.724053;10.008605;10
49.724070;10.000738;10
49.724083;10.004653;3
49.724087;10.000753;12
49.724100;10.000777;13
49.724108;10.000782;11
49.724127;10.000873;9
49.724137;10.000740;12
49.724153;10.000807;6
49.724268;10.000730;12
49.724522;10.000618;11
49.725408;10.009050;11
49.725478;10.009493;3
49.725558;10.009450;3
49.726265;9.994865;2
49.726405;9.998043;9
49.726445;9.998253;19
49.726452;9.998142;16
49.726478;9.993670;0
49.726497;9.998078;4
49.726635;9.995517;5
49.726660;9.995537;7
49.726662;9.995752;5
49.727010;9.998855;18
49.727318;9.998630;13
49.727452;9.993057;9
49.727733;9.992792;5
49.727753;9.992760;7
49.727785;9.992807;4
49.727788;9.992835;4
49.727800;9.992802;4
49.727807;9.992813;4
49.727810;9.992815;3
49.727818;9.992828;4
49.727823;9.992803;5
49.727823;9.992803;3
49.727832;9.992820;4
49.727912;9.994432;5
49.727970;9.992598;5
49.727980;9.992612;5
49.727987;9.992627;5
49.727992;9.992602;4
49.727992;9.992617;5
49.727993;9.992337;4
49.727993;9.992602;4
49.727995;9.992600;4
49.727998;9.992635;5
49.728000;9.992620;4
49.728003;9.992597;5
49.728007;9.992345;3
49.728015;9.992588;4
49.728015;9.992597;4
49.728015;9.992635;4
49.728015;9.992635;4
49.728018;9.992367;4
49.728018;9.994577;3
49.728025;9.992357;8
49.728027;9.992595;6
49.728030;9.992325;3
49.728050;9.992232;5
49.728055;9.992382;4
49.728055;9.992398;4
49.728070;9.992370;4
49.728072;9.992308;7
49.728072;9.992338;6
49.728072;9.992338;5
49.728072;9.992353;6
49.728080;9.992370;4
49.728082;9.992295;3
49.728082;9.992357;3
49.728082;9.992372;2
49.728102;9.992337;5
49.728102;9.992605;7
49.728105;9.992325;5
49.728105;9.992337;5
49.728108;9.992282;5
49.728117;9.992297;5
49.728120;9.992263;6
49.728120;9.992322;4
49.728122;9.992248;4
49.728122;9.992265;6
49.728122;9.992320;5
49.728125;9.992233;3
49.728130;9.992248;8
49.728135;9.992257;6
49.728137;9.992213;6
49.728137;9.992247;11
49.728137;9.992268;10
49.728138;9.992273;5
49.728138;9.992273;4
49.728138;9.992275;10
49.728138;9.992297;5
49.728142;9.992268;5
49.728142;9.992313;4
49.728143;9.992247;10
49.728143;9.992295;5
49.728145;9.992238;6
49.728145;9.992255;10
